"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
23,"Bojan Bogdanovic",4700,4709,[ 18.27217865],23
1,"Elfrid Payton",7200,4699,[ 16.78633118],20
45,"Ryan Anderson",4300,4085,[ 15.1968956],1
23,"Joe Ingles",5000,4701,[ 15.74788475],5
23,"Alex Abrines",3300,4943,[ 18.187994],7
1,"Rajon Rondo",6300,3872,[ 11.99710274],11
5,"Rudy Gobert",6600,4620,[ 21.69108963],5
23,"DeMar DeRozan",8300,4211,[ 20.80511093],26
23,"Denzel Valentine",4600,4901,[ 15.14163399],25
34,"James Johnson",5600,4168,[ 16.42518616],2
23,"Nicolas Batum",6000,4086,[ 21.87953758],3
34,"Carmelo Anthony",6500,3510,[ 18.29615402],7
23,"Josh Richardson",4500,4788,[ 13.18981743],2
12,"James Harden",11600,4224,[ 36.94524384],1
5,"Robin Lopez",4700,4112,[ 15.06504631],25
1,"Kyrie Irving",8200,4379,[ 22.39354324],30
12,"Jrue Holiday",7200,4212,[ 18.25592804],11
4,"Lauri Markkanen",5200,5227,[ 21.69506264],25
5,"DeAndre Jordan",7300,4107,[ 17.37562943],17
12,"Victor Oladipo",9200,4627,[ 27.25672913],23
34,"Al-Farouq Aminu",4800,4261,[ 14.64771938],6
5,"Clint Capela",6700,4766,[ 18.59352493],1
12,"Chris Paul",8400,3786,[ 16.41383743],1
1,"John Wall",7900,4321,[ 31.45756531],19
12,"Donovan Mitchell",7000,5136,[ 15.19103432],5
34,"Jayson Tatum",6100,5111,[ 16.76498032],30
23,"Dion Waiters",5300,4515,[ 16.49484444],2
34,"Thaddeus Young",5900,4037,[ 17.53263855],23
45,"Marquese Chriss",4000,4952,[ 15.76373863],15
1,"Kyle Lowry",8300,3891,[ 20.35766029],26
5,"Nikola Vucevic",8800,4373,[ 22.48161888],20
34,"OG Anunoby",3500,5241,[ 16.02316093],26
23,"Khris Middleton",6800,4490,[ 13.00231171],22
23,"E'Twaun Moore",4800,4364,[ 15.69268608],11
45,"Meyers Leonard",3700,4521,[ 14.30085945],6
3,"Michael Kidd-Gilchrist",4400,4532,[ 14.07212639],3
34,"Marvin Williams",4900,3817,[ 14.66038799],3
12,"Kris Dunn",6300,4945,[ 15.16941452],25
34,"Jamil Wilson",3000,4718,[ 14.72513008],17
34,"Giannis Antetokounmpo",11300,4621,[ 28.96249771],22
5,"Steven Adams",6400,4574,[ 13.14199829],7
5,"Myles Turner",6300,4781,[ 14.07791138],23
1,"Tyler Ulis",4200,4950,[ 14.01295853],15
1,"Kemba Walker",7500,4440,[ 18.02964973],3
5,"Jonas Valanciunas",4700,4497,[ 14.28913689],26
1,"Damian Lillard",9000,4523,[ 25.47438049],6
23,"Wesley Johnson",4100,4292,[ 17.86569405],17
5,"Dwight Howard",7600,3639,[ 18.92707443],3
4,"Mike Scott",4100,4488,[ 13.30811882],19
1,"Ricky Rubio",5000,4414,[ 14.76629066],5
5,"Aron Baynes",3900,4556,[ 14.97470474],30
5,"John Henson",4700,4525,[ 16.74069977],22
45,"DeMarcus Cousins",11000,4274,[ 31.97883606],11
23,"Justin Holiday",4900,4558,[ 14.96507072],25
12,"Jamal Murray",5200,4954,[ 12.83296013],9
2,"Bradley Beal",7600,4494,[ 20.5222168],19
23,"Trevor Ariza",4900,3621,[ 15.31153488],1
45,"Anthony Davis",10200,4482,[ 36.75364685],11
45,"Serge Ibaka",5700,4104,[ 12.0928545],26
23,"Dillon Brooks",3900,5173,[ 14.97457409],12
1,"Goran Dragic",6200,4092,[ 14.17308521],2
34,"Wilson Chandler",4600,3978,[ 16.41606903],9
1,"Russell Westbrook",11200,4079,[ 33.58227158],7
23,"Jonathon Simmons",6400,4890,[ 14.72889519],20
34,"JaMychal Green",4400,4581,[ 17.83728027],12
5,"Marcin Gortat",5000,3756,[ 18.87664795],19
5,"Tyson Chandler",4400,3307,[ 17.67871857],15
23,"Josh Jackson",4200,5130,[ 15.38809395],15
2,"Gary Harris",6300,4678,[ 15.38212585],9
12,"Eric Bledsoe",6800,4266,[ 14.16020203],22
1,"Darren Collison",5800,4228,[ 24.71301079],23
3,"Paul George",7700,4283,[ 19.89253998],7
13,"Mario Hezonja",3800,4776,[ 15.32602119],20
23,"Evan Turner",4000,4318,[ 16.74528885],6
45,"Derrick Favors",5500,4280,[ 16.55454254],5
12,"Austin Rivers",5900,4483,[ 13.47654057],17
5,"Marc Gasol",7600,3990,[ 20.41250992],12
12,"Milos Teodosic",3900,5233,[ 16.16109085],17
45,"Kelly Olynyk",5400,4583,[ 18.33189201],2
