RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Vince Carter, SG",SAC,12,12.0,-1.82,0.16,-1.66,0.10
2,"Jamal Crawford, SG",MIN,22,17.4,-0.04,-2.12,-2.16,0.22
3,"Manu Ginobili, SG",SA,18,20.1,-0.97,-0.83,-1.80,0.27
4,"Dirk Nowitzki, PF",DAL,22,24.9,0.17,0.59,0.76,1.20
5,"Jason Terry, SG",MIL,7,8.4,-1.33,-0.58,-1.91,0.03
6,"Tyson Chandler, C",PHX,17,25.1,-1.53,1.41,-0.12,0.80
7,"Pau Gasol, C",SA,21,25.7,0.29,2.25,2.54,1.69
8,"Richard Jefferson, SF",DEN,5,5.6,-1.36,0.14,-1.22,0.03
9,"Joe Johnson, SG",UTAH,7,19.1,-2.10,0.20,-1.90,0.10
10,"Zach Randolph, PF",SAC,19,24.1,-1.34,-0.07,-1.41,0.43
11,"Nene Hilario, C",HOU,15,14.3,0.04,1.93,1.97,0.70
12,"LeBron James, SF",CLE,21,37.0,5.23,-0.55,4.68,3.64
13,"Carmelo Anthony, PF",OKC,19,32.5,0.71,0.91,1.62,1.77
14,"Nick Collison, PF",OKC,2,6.0,-1.60,1.57,-0.03,0.02
15,"Dwyane Wade, SG",CLE,20,23.5,-1.91,0.80,-1.11,0.55
16,"Kyle Korver, SG",CLE,21,21.7,2.95,-0.48,2.47,1.48
17,"Zaza Pachulia, C",GS,22,14.6,-1.34,3.14,1.80,0.99
18,"David West, PF",GS,20,11.9,-0.29,2.42,2.13,0.75
19,"Udonis Haslem, PF",MIA,2,4.5,-1.57,0.77,-0.80,0.01
20,"Tony Allen, SG",NO,17,13.6,-1.94,0.41,-1.53,0.23
21,"Devin Harris, PG",DAL,16,18.3,0.08,0.87,0.95,0.63
22,"Dwight Howard, C",CHA,20,29.8,-2.66,1.33,-1.33,0.65
23,"Andre Iguodala, SF",GS,20,26.0,-0.78,-0.19,-0.97,0.67
24,"Al Jefferson, C",IND,10,13.9,-1.48,0.70,-0.78,0.21
25,"Shaun Livingston, PG",GS,20,15.6,-0.87,0.70,-0.17,0.56
26,"Trevor Ariza, SF",HOU,19,34.2,1.89,0.59,2.48,2.15
27,"Luol Deng, SF",LAL,1,13.0,-1.41,0.24,-1.17,0.02
28,"Jameer Nelson, PG",NO,19,25.6,0.08,-1.17,-1.09,0.61
29,"JR Smith, SG",CLE,21,30.8,-0.47,-1.39,-1.86,0.47
30,"Damien Wilkins, SG",IND,12,6.4,-1.24,0.03,-1.21,0.09
31,"Andrew Bogut, C",LAL,14,8.0,-2.45,1.74,-0.71,0.17
32,"Raymond Felton, PG",OKC,20,17.5,0.31,-0.38,-0.07,0.63
33,"Channing Frye, PF",CLE,19,11.8,-0.29,1.06,0.77,0.48
34,"Marcin Gortat, C",WSH,21,29.8,-1.43,0.67,-0.76,0.88
35,"Ersan Ilyasova, PF",ATL,9,19.4,-2.02,1.02,-1.00,0.23
36,"Jarrett Jack, PG",NY,19,26.4,-0.99,-0.13,-1.12,0.60
37,"Amir Johnson, PF",PHI,18,15.1,-1.75,1.37,-0.38,0.47
38,"Ian Mahinmi, C",WSH,21,14.3,-2.30,0.51,-1.79,0.21
39,"CJ Miles, SF",TOR,17,19.1,1.30,-0.20,1.10,0.84
40,"Chris Paul, PG",HOU,7,28.1,0.95,0.28,1.23,0.39
41,"Marvin Williams, PF",CHA,20,25.4,0.95,0.71,1.66,1.49
42,"Lou Williams, SG",LAC,19,28.8,1.41,-2.33,-0.92,0.74
43,"Jose Calderon, PG",CLE,12,13.0,-1.22,-0.07,-1.29,0.13
44,"LaMarcus Aldridge, PF",SA,21,33.3,0.74,0.69,1.43,1.79
45,"Rudy Gay, SF",SA,20,22.1,-0.16,1.10,0.94,1.09
46,"Kyle Lowry, PG",TOR,20,32.6,3.88,-0.03,3.85,2.80
47,"Paul Millsap, PF",DEN,16,29.7,-0.17,1.51,1.34,1.38
48,"JJ Redick, SF",PHI,18,33.1,2.41,-0.44,1.97,1.78
49,"Rajon Rondo, PG",NO,8,22.0,-1.37,-0.94,-2.31,0.08
50,"Thabo Sefolosha, SF",UTAH,20,20.6,0.15,1.88,2.03,1.29
51,"PJ Tucker, SF",HOU,21,27.5,-0.70,1.40,0.70,1.29
52,"J.J. Barea, PG",DAL,22,22.1,0.91,-1.71,-0.80,0.63
53,"Arron Afflalo, SG",ORL,16,11.3,-1.94,-0.92,-2.86,0.03
54,"Marco Belinelli, SG",ATL,20,25.8,1.88,-1.82,0.06,1.04
55,"Corey Brewer, SF",LAL,21,12.5,-1.48,-0.06,-1.54,0.27
56,"Aaron Brooks, PG",MIN,11,4.8,-0.93,-1.39,-2.32,0.02
57,"Wilson Chandler, SF",DEN,18,30.3,-1.21,-0.56,-1.77,0.49
58,"Mike Conley, PG",MEM,12,31.1,1.13,-0.59,0.54,0.84
59,"Jared Dudley, SF",PHX,8,14.6,-0.71,0.73,0.02,0.20
60,"Kevin Durant, SF",GS,17,34.6,2.78,0.18,2.96,2.27
61,"Marc Gasol, C",MEM,20,34.4,-0.59,0.82,0.23,1.36
62,"Jeff Green, SF",CLE,21,20.9,-0.15,-0.27,-0.42,0.68
63,"Al Horford, PF",BOS,20,32.4,1.78,2.16,3.94,2.70
64,"Ramon Sessions, PG",NY,8,16.4,-1.19,-0.12,-1.31,0.11
65,"Jason Smith, PF",WSH,8,9.5,-1.96,1.22,-0.74,0.12
66,"Brandan Wright, PF",MEM,15,14.7,-0.71,0.91,0.20,0.46
67,"Nick Young, SG",GS,21,13.3,1.00,-0.56,0.44,0.61
68,"Thaddeus Young, PF",IND,22,33.2,-0.18,1.46,1.28,1.94
69,"Anthony Tolliver, PF",DET,17,17.8,0.59,1.46,2.05,0.88
70,"Ryan Anderson, PF",HOU,20,30.1,1.80,-0.44,1.36,1.51
71,"Darrell Arthur, PF",DEN,2,9.5,-1.39,0.10,-1.29,0.03
72,"Omer Asik, C",NO,1,11.0,-1.69,0.99,-0.70,0.02
73,"D.J. Augustin, PG",ORL,15,20.1,0.36,-0.64,-0.28,0.49
74,"Nicolas Batum, SG",CHA,7,26.3,-0.85,-0.11,-0.96,0.20
75,"Jerryd Bayless, PG",PHI,14,27.8,-0.53,-0.75,-1.28,0.41
76,"Michael Beasley, SF",NY,15,14.4,-1.84,-0.88,-2.72,0.05
77,"Mario Chalmers, PG",MEM,19,24.8,-0.41,1.24,0.83,1.18
78,"Goran Dragic, PG",MIA,21,32.7,2.04,-1.10,0.94,1.68
79,"Danilo Gallinari, SF",LAC,9,31.9,-1.01,0.35,-0.66,0.45
80,"Eric Gordon, SG",HOU,19,31.6,2.32,-0.68,1.64,1.65
81,"George Hill, PG",SAC,19,26.0,-1.32,-0.24,-1.56,0.43
82,"Serge Ibaka, PF",TOR,18,26.9,-0.22,-0.01,-0.23,0.86
83,"DeAndre Jordan, C",LAC,19,32.4,-1.66,1.11,-0.55,0.94
84,"Kosta Koufos, C",SAC,21,19.1,-2.01,0.87,-1.14,0.47
85,"Courtney Lee, SG",NY,21,32.7,1.39,-0.95,0.44,1.42
86,"Robin Lopez, C",CHI,19,29.8,-2.44,0.27,-2.17,0.32
87,"Brook Lopez, C",LAL,21,23.2,-0.47,1.18,0.71,1.19
88,"Kevin Love, PF",CLE,21,29.4,0.94,0.11,1.05,1.54
