Date,PG,SG,SF,PF,C,G,F,UTIL
10/17/2017,Kyrie Irving (0),Jaylen Brown (0),LeBron James (0),Jayson Tatum (0),Draymond Green (0),James Harden (0),P.J. Tucker (0),Nick Young (0)
10/18/2017,Darren Collison (0),Dillon Brooks (0),Tobias Harris (0),Thaddeus Young (0),Hassan Whiteside (0),Giannis Antetokounmpo (0),Robert Covington (0),Clint Capela (0)
10/19/2017,Russell Westbrook (0),C.J. Miles (0),Larry Nance Jr. (0),Kristaps Porzingis (0),Jonas Valanciunas (0),Delon Wright (0),Blake Griffin (0),Robin Lopez (0)
10/20/2017,Spencer Dinwiddie (0),Evan Fournier (0),Otto Porter (0),Al-Farouq Aminu (0),Nikola Vucevic (0),Lonzo Ball (0),Anthony Davis (0),T.J. Warren (0)
10/21/2017,Victor Oladipo (0),D.J. Augustin (0),Giannis Antetokounmpo (0),James Johnson (0),Marc Gasol (0),Iman Shumpert (0),Kevin Durant (0),Domantas Sabonis (0)
10/22/2017,D'Angelo Russell (0),Jordan Clarkson (0),Caris LeVert (0),John Collins (0),Steven Adams (0),Jeff Teague (0),Andrew Wiggins (0),Anthony Davis (0)
10/23/2017,Dejounte Murray (0),Eric Gordon (0),Ben Simmons (0),Otto Porter (0),Dwight Howard (0),Danny Green (0),Giannis Antetokounmpo (0),Mike James (0)
10/24/2017,Cory Joseph (0),Evan Fournier (0),LeBron James (0),Aaron Gordon (0),DeMarcus Cousins (0),Darren Collison (0),Thabo Sefolosha (0),Jamal Crawford (0)
10/25/2017,T.J. McConnell (0),Spencer Dinwiddie (0),Tobias Harris (0),Jeff Green (0),Clint Capela (0),Russell Westbrook (0),LeBron James (0),Brandon Ingram (0)
10/26/2017,Giannis Antetokounmpo (0),Denzel Valentine (0),Al-Farouq Aminu (0),Al Horford (0),Mike Muscala (0),Jameer Nelson (0),Jarell Martin (0),DeMarcus Cousins (0)
10/27/2017,Jeff Teague (0),Kelly Oubre Jr. (0),Luc Mbah a Moute (0),Otto Porter (0),Karl-Anthony Towns (0),Kyle Lowry (0),Kevin Durant (0),Pascal Siakam (0)
10/28/2017,Jrue Holiday (0),Austin Rivers (0),Chandler Parsons (0),DeMarcus Cousins (0),Ryan Anderson (0),Raymond Felton (0),Devin Booker (0),Damian Lillard (0)
10/29/2017,Kemba Walker (0),Tim Hardaway Jr. (0),Khris Middleton (0),Domantas Sabonis (0),Nikola Jokic (0),Spencer Dinwiddie (0),Jonathon Simmons (0),Kristaps Porzingis (0)
10/30/2017,Jeff Teague (0),Dion Waiters (0),Tyreke Evans (0),Kyle O'Quinn (0),Kristaps Porzingis (0),Stephen Curry (0),Lucas Nogueira (0),Rudy Gobert (0)
10/31/2017,D'Angelo Russell (0),Devin Booker (0),T.J. Warren (0),Larry Nance Jr. (0),Domantas Sabonis (0),Mike James (0),Brandon Ingram (0),Reggie Jackson (0)
