,GID,DK Sal,Team,Opp,Team_pts,Start,H/A,Minutes,DKP,as,bl,fga,fgm,fta,ftm,pt,rb,st,to,trey,DoubleD,TripleD,DRPM,ORPM,RPM,WINS,DK pos,Opp_DRPM,Opp_ORPM,Opp_RPM,Opp_WINS,perfect_pg,perfect_sg,perfect_sf,perfect_pf,perfect_c,perfect_g,perfect_f,perfect_util,perfect_player,player_rolling_avg,player_rolling_pg_avg,player_rolling_sg_avg,player_rolling_sf_avg,player_rolling_pf_avg,player_rolling_c_avg,player_rolling_g_avg,player_rolling_f_avg,player_rolling_util_avg,player_rolling_team_pts_avg,perfect_player_rolling_avg,last_as,last_pt,last_fga,last_fgm,last_fta,last_ftm,last_rb,last_DK_Sal,last_DKP,last_bl,last_st,last_to,last_trey,last_DoubleD,last_TripleD,last_minutes,last_perfect_pg,last_perfect_sg,last_perfect_sf,last_perfect_pf,last_perfect_c,last_perfect_g,last_perfect_f,last_perfect_util,last_perfect_player,5avg_as,5avg_pt,5avg_fga,5avg_fgm,5avg_fta,5avg_ftm,5avg_rb,5avg_DK_Sal,5avg_DKP,5avg_bl,5avg_st,5avg_to,5avg_trey,5avg_DoubleD,5avg_TripleD,5avg_minutes,5std_as,5std_pt,5std_fga,5std_fgm,5std_fta,5std_ftm,5std_rb,5std_DK_Sal,5std_DKP,5std_bl,5std_st,5std_to,5std_trey,5std_DoubleD,5std_TripleD,5std_minutes,5med_as,5med_pt,5med_fga,5med_fgm,5med_fta,5med_ftm,5med_rb,5med_DK_Sal,5med_DKP,5med_bl,5med_st,5med_to,5med_trey,5med_DoubleD,5med_TripleD,5med_minutes,DKPavgper1k
GID,1.0,-0.0856753531931937,0.1846828009696761,-0.004474633749818324,-0.06133183707035593,,-0.006777348388483736,-0.00281676139430568,-0.08390855916185079,-0.0735753064759055,0.0060333687006792576,-0.021858564975278712,-0.04691363159399535,-0.026045550058602752,-0.0326344707767911,-0.049628732893905694,-0.0953522957703365,0.02927569130589227,-0.00034506987930710286,-0.02609520726654273,-0.05618608352367794,-0.03447797607848992,-0.17818202826442936,-0.16520237710272953,-0.2529491213593731,-0.20317495760242335,-0.0915794484561314,-0.1429333573622813,0.01652773639299757,-0.07279309721412183,-0.05533976977467451,-0.006553910487697794,0.034122605713764194,-0.00041674974398209295,-0.029134291583999834,-0.008554990248694615,0.0057958706320257744,-0.005044206411500702,0.021262894087429533,0.003461626373205383,-0.08243588352731798,-0.00129999762078325,0.09356780330600971,-0.04133735970106003,-0.01994021457587288,-0.0199822208059055,0.008386407007241534,0.010940621430349946,0.046050427321684864,-0.019502793801593758,0.018993885690162755,-0.06863469706886702,-0.043009374605440645,-0.020604079171669565,-0.041302498060561216,-0.01890649103146204,-0.026414399464358595,-0.08676839363660606,-0.07216419968624065,-0.07205095536792251,0.0003995983816474734,0.024738337194551277,-0.0035353545166261933,-0.027977041898850565,-0.05883323807154364,-0.0313887044841262,0.0008297821646192676,-0.003710977524844756,0.03372664590787973,-0.007466944864450614,-0.03435888199283704,-0.010286299288870279,0.004080471762439949,-0.00448002290718262,0.01953835628928771,-0.002029748787796941,-0.06883827810541002,-0.036485354463677455,-0.007054479666780355,-0.0366698128489875,-0.01906420755236801,-0.028286360740966857,-0.0795034629855256,-0.040192844560848054,-0.05532815235542521,0.016736818597447516,0.048713793406272556,0.002260848486778116,-0.024882667425122774,-0.08456015315487007,-0.04167883921578984,0.002566661291273957,-0.05729577232460686,0.006662894735995265,0.022788863566042396,-0.0038194404949737216,0.008520530439892801,0.0014877472952157613,-0.06256302752898099,0.009083854125010575,-0.0025012716653803274,0.010423758677910995,0.026051646621662018,-0.005618585300632196,-0.005953428278683746,-0.0807896214269796,-0.03926516282775861,0.02509251957576562,-0.0650549869630808,-0.04012998474888473,-0.010920482012598497,-0.03210128318117734,-0.023500263877594654,-0.03244373727585669,-0.08143981477187974,-0.040034797736505076,-0.057184184249776185,0.015170453797310118,0.05028401191832826,0.01951831223487993,-0.014834936609147994,-0.05862001504163056,-0.012340473325012813,-0.004356590171684074,-0.03822147784459402
DK Sal,-0.0856753531931937,1.0,-0.059254040698176094,-0.007551489727417844,0.09173863693295027,,0.010493670169992909,0.44966614392015297,0.6549797370339148,0.4330852775551675,0.18554923175145646,0.6046554408519422,0.5255324631696185,0.48927837778352545,0.4703667184426502,0.5713828131509988,0.3493871376682231,0.15245296111771028,0.4101473778209401,0.1915640111755044,0.35680746862986334,0.15691757640390444,0.09487491034518467,0.6222822651244092,0.618704046522773,0.6977681225510594,-0.06365668559678231,0.05241081091603829,0.08107444167052827,0.10006332848786195,0.10312403964982908,0.11795790539118953,0.013049080621342503,0.037106885038615575,0.010142617553204326,0.05595693715274953,0.05357775408134407,0.026836355404947807,0.06262453767433368,0.14017510012985898,0.7697940401056507,0.24980193369592227,0.0150261253775177,0.19364239402684605,0.08776888596884813,0.1945279835339148,0.22559247878101701,0.19496708980645563,0.17465340599173904,0.026588793039075423,0.48237069621163936,0.42320794093644415,0.539590400933588,0.5470141396175181,0.5002951045865921,0.47726315274752934,0.4631124246920058,0.34764200840895826,0.7778575231403132,0.5939360458864732,0.18216974447055898,0.1550132223244869,0.38848325522364513,0.19453857119151835,0.37161562851554625,0.1681726848181434,0.32238823987660975,0.12640400913295463,0.020732318740880686,0.05478451365761177,0.026025339241206463,0.06644906450526863,0.057661274546961724,0.05690275298937415,0.07774112672298336,0.17954560401919176,0.44882067629090844,0.536553800686685,0.48826371215455605,0.5106308020785193,0.5740522766935713,0.5716778700013136,0.36067050917606197,0.531697464989902,0.539214383841798,0.2715740169788368,0.25146836606726,0.469322192321729,0.2506538159893756,0.5186098431518159,0.2785787576386819,0.25614289054973494,0.2825786194310805,0.3098291507467695,0.27930070004505264,0.29039680832163506,0.39106889661625804,0.40170736200683155,0.22859095206223393,0.14322019575167858,0.27494455411264235,0.21756738904334794,0.20138600790505157,0.3197445633141691,0.1730175812645558,0.41897964783047675,0.28787857676771655,0.006398825299536401,0.437929771115801,0.53634916747141,0.49125122851577696,0.503015421735552,0.5562838643077671,0.5534359293064763,0.3586335388755681,0.5328558448643929,0.5467174697796782,0.2506434763246408,0.23529103821660938,0.4494062280492186,0.23595782214263028,0.4187665015044258,0.0418546965162275,0.27441013557101746,0.29355361972119665
Team,0.1846828009696761,-0.059254040698176094,1.0,-0.015715856774276303,0.0005643328965411075,,-0.013231521571904832,-0.031008640285094972,-0.017804840036572133,-0.006646049760534594,-0.019110505619827182,0.006337848555756355,0.011896186918798556,-0.034904397862987484,-0.03352876857711628,-0.003332773019184341,-0.019141170680160954,-0.017298303733300394,-0.025036619499762814,-0.008965569966150536,-0.05615269044860501,-0.03362741610519883,-0.060628439790205796,0.018338426391930538,-0.018536447250479406,-0.027478318853813213,-0.00891195833972143,0.015488824941589494,-0.009233504960701052,0.0016212249497971412,-0.000272222930849222,-0.02579158225673826,0.028070399546894446,0.01626159689056757,0.011973195593289172,-0.016036575374620873,-0.002093546598445971,-0.0033250549407161244,-0.0080219596311985,-0.0008004616855996417,-0.00680596615338781,0.00570839599151727,0.08992470603671568,0.050468861653165935,0.0691767938252367,-0.06435580840288814,-0.04227944860796762,0.01105778210275015,-0.011601146329476012,0.035256658331820595,0.03460491537982155,-0.011976114059752763,-0.010127414696442448,-0.005775355375762961,0.003997956534615021,-0.03615785891680365,-0.03694070937373335,-0.02522738669152702,-0.050962226974071115,-0.024316765727931677,-0.02603556083274792,-0.01643823333821404,-0.03201535819015392,-0.012694212111744652,-0.05786234165250479,-0.03504222686816397,-0.02981362785421281,-0.02158591209954773,0.012506326073591912,0.012942710339348748,0.008063492275378075,-0.02229851916493292,-0.004183715683730579,-0.01285774297598125,-0.0066186472167188825,-0.013106092401336351,-0.004558120721234945,-0.008076126750662667,-0.00036379993293097736,0.006487698076207832,-0.04367133841479049,-0.046904711068383745,-0.016067896232782163,-0.026427813914478175,-0.01399915738370027,-0.023455121823789327,-0.00814291452859161,-0.03367266325620696,-0.013693682431235614,-0.09301707773395891,-0.059408465856186164,-0.007884883906706974,-0.006318661311688328,0.01021701562953957,0.02930128097936844,0.01907815188783385,0.00629653422263676,-0.004373962303750724,0.012211034636474556,0.1095723761029066,0.012450063575345944,-0.03237843611400951,-0.0052150777710438445,-0.017220357621382066,-0.013952640530881263,-0.019625627177698852,-0.05419254456280015,0.031124464953769002,0.0063030188912257526,-0.005748017232728194,0.003821978835030724,0.013301883481940661,-0.05128780116382863,-0.051178694214711995,-0.013852042495999868,-0.0183919927449942,0.0011075035409454678,-0.01909555732073209,-0.013737130614815128,-0.018453238554764405,-0.015409246990301833,-0.11917526597797508,-0.016004619007006716,0.002299198825230231,0.03663690849437066
Opp,-0.004474633749818324,-0.007551489727417844,-0.015715856774276303,1.0,0.03968693677900231,,0.018883582572355603,-0.03805255458875179,-0.00014971616357688846,0.0007624512084730838,0.0062307355557987025,-0.0034440777812823286,-0.010834725497188925,0.012462535435840291,0.017330906168856054,-0.006572470631761974,0.013127482803797372,-0.015207573429882744,-0.01716123760939454,-0.022928770832172173,0.027419539685825396,-0.0030501371288665633,0.0027855659448375895,0.0008174246736000856,0.0023553680173342005,0.003086053569991455,0.009666980273057535,-0.01746852570461235,-0.003195073663013445,-0.013287643121015503,-0.002703669725539764,0.011433629468590344,0.006112173113581089,-0.0075518480878922455,-0.0023493018222527935,0.028721262953714424,0.002015997651882849,-0.010380390196006756,-0.0271336880682549,0.0015482453500405787,-0.005673795859448965,-0.017734302317036623,-0.0055628045555651704,0.030850560221871683,0.014445771080179644,-0.005805844168672479,-0.027179222402579483,0.013721206772298608,-0.022768780782998887,-0.0017266186602718449,-0.005945243855733415,-0.021753192379092887,-0.02060796973007739,-0.0066083586947791925,-0.01626710215717363,-0.025605326819530733,-0.01884139085314984,-0.006849217861794404,0.002317671527363567,-0.025405526813191137,-0.021158145768782107,-0.010327332119043737,-0.017468549226899978,-0.01802399371674462,-0.022720818746797575,-0.02090892497129419,-0.022412158014156105,0.00019693302971215894,0.00880350843401092,0.004958348060488937,-0.0125586532746316,-0.014804200722894857,-0.048306527717902004,-0.003866067616610618,-0.024244613218804664,-0.03269467399729475,-0.013333022231631525,-0.01097888253586942,-0.009311149800840322,-0.008609160463522383,-0.02164760988898323,-0.017706379436809673,-0.00567116119571992,-0.0015601091020156345,-0.012341285659138015,-0.006845649654061729,-0.006031381760449191,0.0035771123725016887,-0.004621708423640239,-0.019271179813797445,0.00014760710345365272,-0.010051374864975877,-0.020496978529431643,-0.00880809893899851,-0.011638651698812306,-0.010698319914675208,-0.014642882265680196,-0.012939412312044728,0.00013026964886724956,-0.04449799778135034,-0.011921714543486426,-0.023482366920235222,-0.0024803470247184906,0.004938161068629955,-0.008410219575127822,-0.026197501194139924,0.0026945887408276023,-0.004585074472927895,-0.012548910078177579,-0.007688907977333933,-0.008381224248187803,-0.0010531697760345498,-0.018878960883688792,-0.01752154038828853,-0.008571274931090469,-0.005245717478575497,-0.006850403178014372,-0.009570358709375651,0.005305542740812803,-0.006856081932555283,0.0026832808986448223,-0.01596791190838459,-0.02354029628382905,-0.009132242339512186,-0.03203034152553737
Team_pts,-0.06133183707035593,0.09173863693295027,0.0005643328965411075,0.03968693677900231,1.0,,0.07673978437679141,0.07515645553666664,0.24672229286431044,0.18268262180656455,0.05679643667592495,0.09250664699132151,0.22448086357353797,0.12206809102330507,0.1331396520049091,0.23856544187287348,0.048016348850577505,0.04347358165528474,-0.010107611471156063,0.17261548158876866,0.0861541468725862,0.011098145554130334,0.020612838588347067,0.15591616373547995,0.1531884776848451,0.1423199197613271,0.004585572020688226,-0.030947762563955768,0.03413585965237857,0.009969575990380078,0.0011795072769852724,0.06498636632398258,0.03560694505886262,0.043261736878410666,0.03766715041366107,0.0383625415382233,0.07125132798240838,0.04816027691707211,0.0372631554798807,0.13795401981347227,0.04882331330983748,0.02482850701697776,0.013277878818737498,0.013181604801982294,-0.0013537891084159385,0.049041875675262,0.011196730571642874,0.04839869660975407,-0.03407300489384771,0.03681718667911349,0.04856032468345829,0.030542688782860025,0.03028110392192113,0.02155121806688738,0.021814504908669416,0.01739582469846611,0.017736456800787205,-0.009859826794684995,0.07522282222377413,0.02914337412533567,0.027392960255851657,0.010367803724441304,0.03147161987338047,0.05363467963228293,0.019457189826565458,-0.021301614042802005,-0.008972447807705008,0.035203589561241935,0.029302742093119886,0.004862429344739675,-0.02649901255543695,0.02274866393129863,-0.005145168897082011,0.033060012087233095,-0.006700859627972756,0.03173117426806362,0.05172602518258166,0.05641485183773312,0.041049413735415145,0.04753763389091474,0.04602053988590946,0.04757327743755441,0.031337897436565586,0.06771277075734045,0.057855363418297605,0.033636114032217154,0.02603102546481376,0.05636809985276148,0.08103629662386591,0.055490565106988084,0.019476254748920282,0.028026533345159154,0.03891130500481442,0.040321467687825935,0.039329291320634896,0.0357722786578297,0.028098625014422455,0.0361860443012326,0.038776338979151954,-0.0009142438964228145,0.039619006066241226,0.030160203669619762,0.005715792623304605,0.04272225738784541,0.05361895683434287,0.033022513840288883,0.03066765583011246,0.018614212781590277,0.057604300257015885,0.056523992365887024,0.043114042071958694,0.04230857280205962,0.04523075139061399,0.04467867542332825,0.03850372454280174,0.06726203133739019,0.05757406252742248,0.029826172944884103,0.03414975001638792,0.051858844708639225,0.08192225981087732,0.05402905467611343,-0.003074447184101862,0.026524238593596306,-0.03566623753101599
Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H/A,-0.006777348388483736,0.010493670169992909,-0.013231521571904832,0.018883582572355603,0.07673978437679141,,1.0,0.0025983865963178417,0.02873384079403525,0.019955145417595996,0.0531375100553321,0.0020970096721643753,0.007581512973338224,0.02294796101341585,0.021479194866994157,0.010115906251650457,0.018907368753752356,0.012133669330901957,-0.013191410280885444,-0.013029603564354925,0.016597380365753818,0.00019024886992428068,-0.008055702969426615,-0.003929358343785272,-0.008229640255166164,-0.00588453843389063,0.009300455711180818,-0.01621397271342737,-0.005265003156467756,-0.014269547433435665,-0.016657034315786745,0.023232717717375725,0.013670540671810841,-0.004794667541012343,0.020926936471116465,0.00482294417188507,-0.018080774001982578,-0.00782371622812278,-0.004794667541012229,0.010106768656691557,0.006062498307623468,-0.016614640706399904,0.010199502184039585,-0.014939813307977747,0.02367731036170919,0.0024408561080506755,-0.005651370745327442,0.013353318694254886,0.02935125675453219,-0.0051069140460370975,0.012633493650599209,-0.00525854928367242,0.0054036482313302905,0.0072087234378902165,-0.0019426893267532916,0.019789535428703327,0.024489389146744325,0.011589338566273743,0.0193063828138659,0.008214915093631987,-0.001103402282526664,0.026151957528549277,0.00860866190042643,-0.0026455297077640555,0.003250382912685318,-0.02763703993302702,0.00646266414715922,-0.03378687137558457,0.022640255424855493,-0.015669450392363855,0.013670540671810042,0.010122747003941657,-0.03339352461139462,0.02661297791777388,0.016574254768639312,0.001679083204265958,-0.0007429560831423185,0.012082850293366207,0.008644042467727093,0.011788410886305488,0.01559712639818513,0.017175914041822074,0.006736253640145301,0.006257505912536197,0.009168655142756438,0.01570958463282787,-0.0037451568579395956,-0.001038137704306177,-0.003341559221770206,0.01575488973449768,-0.02283260810921254,0.005371442579785273,0.0008190590621767338,-0.002730300056020418,-0.026313871777313147,-0.014250660571941895,0.0086135936301129,0.015510031423647257,-0.02100179874343927,-0.03573369896876353,-0.012457416742269288,0.004301193488527818,-0.020914984036694086,-0.00399353781937044,-0.004616726850338072,0.008858738587875135,-0.023642327996465217,-0.015063610524037754,0.0005063054866600578,0.008267008941925714,0.009196831543725201,0.008181811367467052,0.01105377990422752,0.00876685549681512,0.007679450856546382,0.0028106000618442787,0.006498307491908847,0.024836565712132684,-0.0005325583024799894,-0.0046813550261984626,-0.0018313813424365036,0.011570971012510332,0.016303763354970045,0.005025038560570997,-0.009602586128445398
Minutes,-0.00281676139430568,0.44966614392015297,-0.031008640285094972,-0.03805255458875179,0.07515645553666664,,0.0025983865963178417,1.0,0.6599669776212833,0.37546988478944404,0.14365515321128317,0.6541412770633971,0.5698456965183414,0.37473399811239094,0.36165463675152965,0.5992208791299504,0.30376829371116365,0.24393389202458723,0.27929966696846403,0.35903053637560495,0.26336826712932176,0.09379098435038698,-0.11681208406379735,0.4023319911507115,0.29673685532406124,0.40045568600149883,-0.05861023492028252,-0.10838955726458609,0.10062703855319105,0.018978319708634072,0.06007108114927035,0.08037588423367223,0.09453016604377121,0.10736036663895712,0.06680199406925637,0.08073617807093952,0.09772179595155646,0.07589391620326495,0.08141780723670002,0.25154510393042556,0.4214687664012678,0.11143694665462556,0.07559594033967802,0.1342338009130385,0.047414720368745694,0.024677162161701578,0.12500975115156887,0.09766738791946789,0.02700138143692637,0.01189920283051396,0.2295625595808532,0.2414899461198006,0.3397152103200889,0.36488546779663555,0.3129430689306058,0.25021713724862693,0.24239696439549138,0.10724387489350841,0.38200855859218175,0.3311717283067032,0.03943668210923464,0.14483540919094398,0.20768493187123907,0.21970650382893198,0.12519557044795868,0.060719158637091424,0.3435725077041452,0.05239728923133661,0.04210114793996573,0.04546324361945249,-0.016544050911734543,0.0207946081996431,0.05155135509814684,0.008617148879557642,0.016873994770082636,0.08111160973300337,0.24160586079630522,0.32119553907523,0.31756237970761836,0.3052032013478722,0.27900980217600646,0.28405317417776055,0.11547389108407002,0.2510834462157719,0.2879411440634313,0.04900758050905197,0.22386562000323432,0.23907624889727558,0.2530927922395358,0.17215017180084888,0.10593230716302374,0.24172896883750372,0.15442924873124783,0.186387437622214,0.15311491065662017,0.16677327579320164,0.1927972271457686,0.21126152864920456,0.03986944824048817,0.07440949269792659,0.12706201660527225,0.0451316082127092,0.15712555947974416,0.1492364669227148,0.2108153230605467,0.15349152443969588,0.11006970982032516,-0.01123997351233925,0.2423877824983647,0.3198139101648271,0.31379949239608534,0.30072952795085817,0.2656913354967456,0.2661510746436419,0.1235524865177677,0.25203111481246937,0.2895105504315865,0.042164775047234274,0.21802638862831616,0.22220022101020023,0.23317747887754947,0.12397537986415146,0.015125084273765925,0.25276812950379857,0.22013103820846236
DKP,-0.08390855916185079,0.6549797370339148,-0.017804840036572133,-0.00014971616357688846,0.24672229286431044,,0.02873384079403525,0.6599669776212833,1.0,0.5249312290664816,0.3185070712847964,0.7482198685576011,0.8170181705528594,0.5779996621272684,0.5641838891824822,0.8565069857067587,0.5630096446832878,0.3129544512618468,0.32780919561500577,0.4174022637624614,0.5339879302869623,0.20774087474203115,0.07035378516903108,0.49027781213208116,0.48491049216321397,0.5398531958172744,-0.06161219953242139,0.03636720579458657,0.05925093312807011,0.07195410824453231,0.07027833863856238,0.19939994318215082,0.1379079878511547,0.1585686987844307,0.15723750515442317,0.20041826446583608,0.16811744403057777,0.13888424724868184,0.18025386607216753,0.49540292388423507,0.5461504400081688,0.17076726851907584,0.02526466502788765,0.13317862402912833,0.058535402927073744,0.13661708811146284,0.15219510902896388,0.12532741525603347,0.10992333377478877,0.017665771996034384,0.3302645271094779,0.3102977278577975,0.3934970884733458,0.39360862525148255,0.36194731353043613,0.361134478738559,0.3461569659007586,0.24129585613513446,0.5449114026978962,0.42754311261136657,0.12752084195778615,0.10891531767952845,0.2916869054924931,0.1396514161150359,0.26568047984007037,0.11427136632849837,0.22666425993015527,0.1094313806327783,0.039169926127696916,0.024140889633449455,0.007186854522241653,0.07435300749205717,0.038559119199010373,0.019387511456719464,0.05657181156790455,0.13735839823993737,0.3246874874775996,0.36750123991848554,0.34172564303021785,0.34735034226133615,0.40279400882188493,0.4033799315576563,0.2545176257046974,0.36421792417647325,0.37420651448573394,0.17487134016730185,0.18000539662747903,0.34346642584564274,0.1641166836895712,0.35707982602718735,0.19923805006003428,0.17484409443104018,0.20059781885222927,0.21583547552188742,0.19482976049513762,0.20079221502098846,0.2746219404459227,0.2828261785860143,0.1567649129406995,0.08763245789617666,0.1947571950663732,0.15670098295616455,0.1323821105491116,0.22061899857970654,0.1131642467804881,0.3035104993316697,0.20570999093876371,-0.001610075845876803,0.3220935381978605,0.36944142337003083,0.345608582874803,0.3437584179675168,0.3864281951579851,0.38378717946869956,0.2602152439217888,0.36412522391969543,0.3803633148055225,0.15684580086275152,0.17436900272839337,0.3291050871607891,0.15187051973288448,0.27634922341049023,0.02626944876736099,0.18835127143049113,0.17522394609804337
as,-0.0735753064759055,0.4330852775551675,-0.006646049760534594,0.0007624512084730838,0.18268262180656455,,0.019955145417595996,0.37546988478944404,0.5249312290664816,1.0,-0.014026232183369217,0.3248031622488732,0.25025757219852673,0.22235677382926552,0.2236148377249574,0.28173125594801895,0.0375425700823482,0.2085611613158202,0.2999056410242535,0.14698689968007952,0.24797252164860645,0.2641290107474821,-0.09000890575774041,0.41577451069812593,0.32445269960551426,0.36748403997008783,-0.23732168193839892,-0.17353174831103724,0.10248138210639811,-0.01897860769849885,0.033949776052445355,0.21942038918064777,0.10609055593065621,0.0767287825148892,0.017184582550060255,0.008166703968432375,0.17215812961705176,0.05186465007978961,0.07581931918449639,0.26347984624432785,0.3336320603412061,0.25615171267367476,0.0439910249000349,0.1038426991076149,-0.048225072288377066,-0.007122462794108592,0.24904196417255375,0.03989997145590327,0.010864922256221654,0.023150339226044425,0.23706184918412015,0.520098315643395,0.23257939744897324,0.2636027371626211,0.20493493681839065,0.2051983706845973,0.20145709292766575,-0.0052399720795678175,0.35845993983250973,0.29317031032894697,-0.03727939062476437,0.15522123813519764,0.27969108895994227,0.12829119167344077,0.12200175412773034,0.14806561120636527,0.16619389897853362,0.13442147760807796,0.045112950154072025,0.031079304470585465,-0.024632609959827134,0.0020347462370134545,0.08045358201284608,0.0018971351378830306,0.01923865404430456,0.10609891783820477,0.5242415035856959,0.22048114809843836,0.22523275135133436,0.196218061773837,0.23568317473583097,0.24366651871630096,0.02046469551862562,0.2486816197036147,0.25961863257364554,-0.03755729832378643,0.22102618625875672,0.318199482275499,0.16094838890018923,0.1673098798250082,0.257302232919286,0.1300676148813331,0.35518314125513184,0.12693394534636354,0.11984942436003526,0.11623823474739664,0.1663520067531928,0.17736765294221202,-0.004466816261330635,0.06611240883059233,0.12887656672821463,-0.014943502955148234,0.1607567572088837,0.18571020399789875,0.1287247014301768,0.14943461208152767,0.2629106017128666,-0.009617310335805523,0.5173035166957417,0.22931023304654866,0.2276857123506374,0.20165152352099758,0.2207748964715613,0.22873579229437216,0.02445767796483564,0.24838054474655388,0.2636976454365964,-0.04096654230562427,0.21317163747131618,0.30566914604423473,0.14365985087404307,0.11608105547570226,0.023219872102135077,0.13843472963070094,0.07972610057028191
