,GID,Date,Name,DK Sal,Team,Opp,Team_pts,Start,H/A,Minutes,DKP,as,bl,fga,fgm,fta,ftm,pt,rb,st,to,trey,DoubleD,TripleD,DRPM,ORPM,RPM,WINS,DK pos,Opp_DRPM,Opp_ORPM,Opp_RPM,Opp_WINS,PG,SG,SF,PF,C,G,F,UTIL,perfect_pg,perfect_sg,perfect_sf,perfect_pf,perfect_c,perfect_g,perfect_f,perfect_util,perfect_player,player_rolling_avg,player_rolling_pg_avg,player_rolling_sf_avg,player_rolling_pf_avg,player_rolling_g_avg,player_rolling_f_avg,player_rolling_team_pts_avg,perfect_player_rolling_avg,last_as,last_pt,last_fga,last_fgm,last_fta,last_ftm,last_rb,last_DK_Sal,last_DKP,last_bl,last_st,last_to,last_trey,last_DoubleD,last_TripleD,last_minutes,last_perfect_pg,last_perfect_sg,last_perfect_sf,last_perfect_pf,last_perfect_c,last_perfect_g,last_perfect_f,last_perfect_util,last_perfect_player,5avg_as,5avg_pt,5avg_fga,5avg_fgm,5avg_fta,5avg_ftm,5avg_rb,5avg_DK_Sal,5avg_DKP,5avg_bl,5avg_st,5avg_to,5avg_trey,5avg_DoubleD,5avg_TripleD,5avg_minutes,5std_as,5std_pt,5std_fga,5std_fgm,5std_fta,5std_ftm,5std_rb,5std_DK_Sal,5std_DKP,5std_bl,5std_st,5std_to,5std_trey,5std_DoubleD,5std_TripleD,5std_minutes,5med_as,5med_pt,5med_fga,5med_fgm,5med_fta,5med_ftm,5med_rb,5med_DK_Sal,5med_DKP,5med_bl,5med_st,5med_to,5med_trey,5med_DoubleD,5med_TripleD,5med_minutes,player_rolling_sg_avg,player_rolling_util_avg,player_rolling_c_avg,DKPavgper1k
6680,4938,2017-11-24,Taurean Prince,5200,21,28,116.0,1,1,31.13,27.5,1,1,14,4,2,2,13,8,0,1,3,0,0,-0.45,-1.06,-1.51,0.65,23,0.48,-0.02,0.46,1.28,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,0,0,26.11,0.0,0.06,0.0,0.0,0.0,102.78,0.06,3.0,2.0,7.0,1.0,0.0,0.0,1.0,5000.0,10.75,0.0,2.0,2.0,0.0,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,10.4,8.4,4.2,1.4,0.6,4.6,5040.0,25.85,0.6,1.8,2.4,1.4,0.0,0.0,31.33,2.61,6.99,2.7,3.11,1.34,0.89,2.51,181.66,11.47,0.55,1.79,1.52,1.34,0.0,0.0,6.56,3.0,14.0,8.0,5.0,2.0,0.0,5.0,5000.0,25.25,1.0,2.0,2.0,2.0,0.0,0.0,31.95,0.0,0.0,0.0,5.02
6678,3978,2017-11-24,Wilson Chandler,4900,9,12,104.0,1,1,23.33,13.5,3,0,4,2,0,0,5,2,1,2,1,0,0,-0.56,-1.21,-1.77,0.49,34,-0.36,-0.77,-1.13,0.21,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,0,0,18.78,0.0,0.0,0.0,0.0,0.0,108.06,0.0,1.0,2.0,6.0,1.0,0.0,0.0,5.0,4800.0,11.25,1.0,0.0,1.0,0.0,0.0,0.0,27.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,9.6,6.6,3.2,2.4,2.0,5.4,4540.0,21.85,0.4,0.4,1.2,1.2,0.2,0.0,24.53,2.51,7.96,3.97,2.49,2.3,1.87,4.04,194.94,15.69,0.55,0.55,1.1,1.3,0.45,0.0,14.27,1.0,14.0,8.0,5.0,3.0,3.0,5.0,4600.0,27.5,0.0,0.0,1.0,1.0,0.0,0.0,27.07,0.0,0.0,0.0,3.83
6677,4092,2017-11-24,Goran Dragic,6700,2,8,109.0,1,0,31.48,39.5,6,0,14,7,2,1,20,4,2,2,5,0,0,-1.1,2.04,0.94,1.68,1,-1.1,2.04,0.94,1.68,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,0,0,32.35,0.0,0.0,0.0,0.06,0.0,100.47,0.06,4.0,27.0,17.0,8.0,10.0,9.0,5.0,6400.0,40.75,0.0,1.0,3.0,2.0,0.0,0.0,30.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,16.0,13.4,5.8,2.8,2.6,4.6,6620.0,30.65,0.2,1.0,3.2,1.8,0.0,0.0,32.86,2.17,8.86,3.91,2.77,4.38,3.97,0.55,148.32,7.89,0.45,0.71,0.84,1.1,0.0,0.0,4.05,4.0,18.0,14.0,6.0,0.0,0.0,5.0,6600.0,31.0,0.0,1.0,3.0,2.0,0.0,0.0,34.57,0.0,0.0,0.0,4.83
6676,4787,2017-11-24,Justise Winslow,4100,2,8,109.0,1,0,21.05,20.5,2,1,3,2,2,2,8,6,0,2,2,0,0,0.95,-1.84,-0.89,0.64,34,-0.09,-1.08,-1.17,0.1,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,0,0,17.76,0.0,0.0,0.0,0.0,0.0,100.47,0.0,1.0,8.0,6.0,4.0,0.0,0.0,8.0,4200.0,18.5,0.0,0.0,2.0,0.0,0.0,0.0,25.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,7.0,6.6,2.8,1.2,1.0,5.8,4040.0,19.35,0.4,1.2,1.4,0.4,0.0,0.0,22.47,0.89,2.24,1.82,1.1,1.1,1.0,1.64,89.44,4.57,0.55,1.1,1.34,0.55,0.0,0.0,2.89,1.0,7.0,6.0,2.0,2.0,1.0,5.0,4000.0,18.5,0.0,2.0,2.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,4.33
6673,5173,2017-11-24,Dillon Brooks,4100,12,9,92.0,1,0,35.05,15.25,2,2,8,3,0,0,7,1,0,1,1,0,0,1.14,-2.51,-1.37,0.62,23,-1.81,1.07,-0.74,0.87,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,0,0,18.71,0.0,0.0,0.0,0.0,0.0,99.82,0.06,1.0,13.0,8.0,5.0,0.0,0.0,2.0,4300.0,20.0,1.0,0.0,1.0,3.0,0.0,0.0,32.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,10.8,7.8,4.2,1.8,1.4,3.2,4180.0,19.7,0.6,0.8,1.0,1.0,0.0,0.0,29.46,0.89,5.76,2.77,1.64,2.05,2.07,1.3,130.38,5.96,0.55,0.84,1.0,1.41,0.0,0.0,3.54,2.0,11.0,9.0,5.0,2.0,1.0,3.0,4200.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,29.55,0.06,0.0,0.0,4.56
6671,4104,2017-11-24,Serge Ibaka,5000,26,23,104.0,1,0,27.03,22.75,1,1,10,5,1,0,10,7,1,3,0,0,0,-0.01,-0.22,-0.23,0.86,45,-0.01,-0.22,-0.23,0.86,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,0,0,20.06,0.0,0.0,0.06,0.0,0.0,109.76,0.06,1.0,9.0,14.0,4.0,2.0,1.0,2.0,5100.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.0,7.2,2.8,1.2,0.6,3.8,5180.0,15.65,1.6,0.2,0.8,0.8,0.0,0.0,22.0,0.45,4.64,5.26,1.79,1.1,0.89,3.03,83.67,9.1,1.52,0.45,0.84,0.84,0.0,0.0,12.46,0.0,9.0,7.0,4.0,2.0,0.0,4.0,5200.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,26.2,0.0,0.0,0.0,4.01
6684,4079,2017-11-24,Russell Westbrook,10600,7,24,98.0,1,1,39.03,65.75,11,0,29,10,7,6,27,11,3,5,1,1,1,1.1,2.75,3.85,3.04,1,-0.98,2.04,1.06,1.35,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,0,0,50.24,0.18,0.0,0.0,0.06,0.0,103.47,0.24,9.0,34.0,27.0,13.0,8.0,7.0,10.0,10400.0,67.0,0.0,4.0,6.0,1.0,1.0,0.0,36.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.4,23.8,19.8,7.2,8.6,7.8,9.2,10600.0,53.6,0.0,2.8,3.8,1.6,0.4,0.2,35.59,2.61,7.12,5.17,3.27,3.05,2.59,4.32,291.55,14.01,0.0,1.64,1.48,1.14,0.55,0.45,3.09,9.0,22.0,19.0,6.0,8.0,7.0,9.0,10500.0,47.5,0.0,3.0,4.0,2.0,0.0,0.0,36.93,0.0,0.0,0.0,4.74
6667,4482,2017-11-24,Anthony Davis,10700,11,15,115.0,1,0,25.75,38.75,2,1,12,9,7,5,23,9,0,1,0,0,0,1.72,2.53,4.25,3.3,45,2.74,2.73,5.47,3.94,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,0,0,48.28,0.0,0.0,0.0,0.0,0.06,108.61,0.11,4.0,29.0,17.0,11.0,7.0,7.0,11.0,9600.0,51.75,0.0,1.0,1.0,0.0,1.0,0.0,35.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,22.8,13.8,8.0,8.2,6.6,9.2,10220.0,44.5,1.4,1.4,3.0,0.2,0.6,0.0,34.61,2.3,9.44,4.82,2.24,7.92,6.66,4.27,558.57,13.31,1.67,1.14,2.92,0.45,0.55,0.0,8.49,3.0,19.0,15.0,8.0,5.0,3.0,10.0,10200.0,47.0,1.0,1.0,2.0,0.0,1.0,0.0,35.38,0.0,0.06,0.0,4.51
6664,4772,2017-11-24,Nikola Jokic,8600,9,12,104.0,1,1,35.92,58.25,8,0,17,11,6,4,28,13,1,5,2,1,0,2.94,3.01,5.95,3.41,5,0.82,-0.59,0.23,1.36,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,1,1,40.28,0.0,0.0,0.0,0.0,0.0,108.06,0.17,3.0,17.0,14.0,7.0,3.0,2.0,6.0,8900.0,34.5,1.0,2.0,2.0,1.0,0.0,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,11.6,9.0,4.0,3.0,2.6,8.8,8740.0,31.8,0.8,1.4,2.2,1.0,0.4,0.0,26.74,1.79,5.32,4.06,2.83,2.24,2.41,3.56,472.23,10.87,0.45,1.14,0.45,0.71,0.55,0.0,9.56,3.0,13.0,9.0,3.0,3.0,2.0,7.0,8900.0,34.5,1.0,1.0,2.0,1.0,0.0,0.0,26.52,0.0,0.11,0.06,4.68
6663,4489,2017-11-24,Andre Drummond,8800,24,7,99.0,1,0,37.55,41.5,3,2,14,8,3,1,17,14,0,6,0,1,0,1.65,-0.67,0.98,1.56,5,1.49,-1.47,0.02,0.14,Kyle Lowry,Terry Rozier,Courtney Lee,LeBron James,Jusuf Nurkic,Fred VanVleet,Jordan Bell,Nikola Jokic,0,0,0,0,0,0,0,0,0,42.06,0.0,0.0,0.0,0.0,0.0,104.0,0.24,3.0,8.0,7.0,3.0,6.0,2.0,8.0,8800.0,21.5,0.0,1.0,6.0,0.0,0.0,0.0,24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,9.8,4.6,5.0,2.8,14.6,8860.0,38.75,1.2,0.8,4.8,0.0,0.6,0.0,31.81,0.71,4.95,3.11,2.07,2.24,1.64,3.78,114.02,11.0,1.3,0.45,1.3,0.0,0.55,0.0,4.67,4.0,11.0,9.0,4.0,5.0,2.0,16.0,8900.0,41.75,1.0,1.0,5.0,0.0,1.0,0.0,33.28,0.0,0.0,0.24,4.78
