,GID,Date,Name,DK Sal,Team,Opp,Team_pts,Start,H/A,Minutes,DKP,as,bl,fga,fgm,fta,ftm,pt,rb,st,to,trey,DoubleD,TripleD,DRPM,ORPM,RPM,WINS,DK pos,Opp_DRPM,Opp_ORPM,Opp_RPM,Opp_WINS,PG,SG,SF,PF,C,G,F,UTIL,perfect_pg,perfect_sg,perfect_sf,perfect_pf,perfect_c,perfect_g,perfect_f,perfect_util,perfect_player,player_rolling_avg,player_rolling_pg_avg,player_rolling_sg_avg,player_rolling_sf_avg,player_rolling_pf_avg,player_rolling_c_avg,player_rolling_g_avg,player_rolling_f_avg,player_rolling_util_avg,player_rolling_team_pts_avg,perfect_player_rolling_avg,last_as,last_pt,last_fga,last_fgm,last_fta,last_ftm,last_rb,last_DK_Sal,last_DKP,last_bl,last_st,last_to,last_trey,last_DoubleD,last_TripleD,last_minutes,last_perfect_pg,last_perfect_sg,last_perfect_sf,last_perfect_pf,last_perfect_c,last_perfect_g,last_perfect_f,last_perfect_util,last_perfect_player,5avg_as,5avg_pt,5avg_fga,5avg_fgm,5avg_fta,5avg_ftm,5avg_rb,5avg_DK_Sal,5avg_DKP,5avg_bl,5avg_st,5avg_to,5avg_trey,5avg_DoubleD,5avg_TripleD,5avg_minutes,5std_as,5std_pt,5std_fga,5std_fgm,5std_fta,5std_ftm,5std_rb,5std_DK_Sal,5std_DKP,5std_bl,5std_st,5std_to,5std_trey,5std_DoubleD,5std_TripleD,5std_minutes,5med_as,5med_pt,5med_fga,5med_fgm,5med_fta,5med_ftm,5med_rb,5med_DK_Sal,5med_DKP,5med_bl,5med_st,5med_to,5med_trey,5med_DoubleD,5med_TripleD,5med_minutes,DKPavgper1k
9188,4709,2017-12-13,Bojan Bogdanovic,4700,23,7,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27,1.11,-0.16,1.2,23,-0.99,-1.38,-2.37,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.85,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,109.0,0.04,2.0,7.0,8.0,2.0,3.0,3.0,3.0,4900.0,13.25,0.0,0.0,1.0,0.0,0.0,0.0,35.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.8,10.8,4.0,2.2,2.2,2.8,4740.0,19.6,0.0,0.4,0.6,1.6,0.0,0.0,34.64,0.71,5.89,1.79,2.35,0.45,0.45,1.3,181.66,7.26,0.0,0.55,0.55,1.52,0.0,0.0,3.2,2.0,10.0,11.0,3.0,2.0,2.0,2.0,4800.0,15.25,0.0,0.0,1.0,2.0,0.0,0.0,35.35,4.65
9212,4699,2017-12-13,Elfrid Payton,7200,20,17,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.82,-0.47,-1.29,0.34,1,-0.82,-0.47,-1.29,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.71,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.96,0.07,3.0,11.0,9.0,5.0,0.0,0.0,1.0,6800.0,16.75,0.0,0.0,1.0,1.0,0.0,0.0,24.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,10.8,10.0,4.4,1.4,1.2,3.2,5180.0,25.2,0.4,1.0,1.8,0.8,0.0,0.0,32.23,1.52,3.19,1.0,1.67,1.67,1.3,2.59,2910.67,6.35,0.55,1.0,1.64,0.84,0.0,0.0,5.73,6.0,11.0,10.0,4.0,1.0,1.0,4.0,6500.0,25.25,0.0,1.0,1.0,1.0,0.0,0.0,31.83,2.6
9199,4085,2017-12-13,Ryan Anderson,4300,1,3,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44,1.8,1.36,1.51,45,0.94,-1.63,-0.69,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.0,115.04,0.12,0.0,5.0,6.0,2.0,0.0,0.0,3.0,4600.0,8.75,0.0,0.0,1.0,1.0,0.0,0.0,17.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.4,7.4,3.8,0.4,0.4,4.0,4700.0,17.7,0.0,0.2,1.6,2.4,0.0,0.0,22.57,1.0,9.84,3.36,3.56,0.89,0.89,3.46,70.71,16.74,0.0,0.45,0.89,2.41,0.0,0.0,9.96,1.0,5.0,6.0,2.0,0.0,0.0,3.0,4700.0,8.75,0.0,0.0,1.0,1.0,0.0,0.0,17.63,4.79
9197,4701,2017-12-13,Joe Ingles,5000,5,25,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,1.3,2.19,2.01,23,-1.8,0.86,-0.94,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.07,0.0,4.0,12.0,9.0,4.0,2.0,1.0,4.0,4900.0,25.5,0.0,1.0,2.0,3.0,0.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,12.6,9.4,4.2,1.6,1.2,3.4,4940.0,26.45,0.2,1.2,2.0,3.0,0.0,0.0,32.13,1.79,2.07,2.7,1.1,1.67,1.3,1.34,89.44,5.26,0.45,0.45,0.71,0.71,0.0,0.0,5.98,4.0,12.0,9.0,4.0,2.0,1.0,4.0,4900.0,26.0,0.0,1.0,2.0,3.0,0.0,0.0,32.82,4.88
9194,4943,2017-12-13,Alex Abrines,3300,7,23,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64,-0.34,-0.98,0.4,23,-0.64,-0.34,-0.98,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.81,0.0,0.0,12.0,9.0,2.0,6.0,6.0,0.0,3200.0,12.5,0.0,0.0,1.0,2.0,0.0,0.0,26.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,8.8,6.8,2.8,1.6,1.2,1.8,3260.0,14.85,0.2,1.0,1.0,2.0,0.0,0.0,25.58,0.89,7.26,3.27,2.39,2.51,2.68,1.48,54.77,9.45,0.45,0.71,1.22,2.35,0.0,0.0,10.58,0.0,5.0,8.0,2.0,1.0,0.0,2.0,3300.0,12.5,0.0,1.0,1.0,1.0,0.0,0.0,25.6,2.49
9192,3872,2017-12-13,Rajon Rondo,6300,11,22,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.94,-1.37,-2.31,0.08,1,-0.94,-1.37,-2.31,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,110.68,0.11,12.0,13.0,12.0,5.0,0.0,0.0,12.0,5800.0,48.0,0.0,0.0,8.0,3.0,1.0,1.0,42.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.6,9.4,7.0,3.8,0.4,0.4,5.0,5640.0,34.05,0.2,1.4,2.8,1.4,0.6,0.2,26.66,6.66,5.41,4.42,2.17,0.89,0.89,4.58,403.73,21.48,0.45,2.19,3.11,1.14,0.55,0.45,16.33,11.0,11.0,7.0,5.0,0.0,0.0,5.0,5800.0,38.75,0.0,0.0,2.0,1.0,1.0,0.0,27.78,2.19
9191,4620,2017-12-13,Rudy Gobert,6600,5,25,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,-1.87,-0.57,0.66,5,0.27,-2.44,-2.17,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,103.07,0.04,1.0,20.0,8.0,6.0,14.0,8.0,9.0,6000.0,33.75,1.0,0.0,2.0,0.0,0.0,0.0,28.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.8,2.2,4.4,2.6,6.8,6900.0,19.6,1.2,0.6,2.0,0.0,0.0,0.0,20.92,1.22,7.62,3.03,2.28,5.9,3.29,4.09,738.24,12.7,0.84,0.55,1.87,0.0,0.0,0.0,12.07,1.0,5.0,4.0,2.0,2.0,2.0,9.0,7300.0,22.25,1.0,1.0,2.0,0.0,0.0,0.0,26.88,2.88
9190,4211,2017-12-13,DeMar DeRozan,8300,26,15,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19,2.04,0.85,1.69,23,-1.13,-3.02,-4.15,-0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.16,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,110.52,0.04,8.0,17.0,13.0,5.0,10.0,7.0,5.0,8200.0,38.25,0.0,2.0,2.0,0.0,0.0,0.0,36.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,22.8,16.2,7.2,10.4,8.4,5.4,8160.0,43.05,0.2,1.6,1.8,0.0,0.0,0.0,35.0,1.64,4.09,3.03,1.79,2.51,3.21,1.67,304.96,3.23,0.45,1.14,1.48,0.0,0.0,0.0,1.05,8.0,25.0,15.0,7.0,10.0,7.0,5.0,8200.0,43.75,0.0,2.0,2.0,0.0,0.0,0.0,34.9,4.6
9189,4901,2017-12-13,Denzel Valentine,4600,25,5,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.96,-0.23,-1.19,0.6,23,-0.41,-2.29,-2.7,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.48,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,97.52,0.08,3.0,2.0,7.0,1.0,0.0,0.0,6.0,4800.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,29.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.2,7.8,2.4,0.6,0.4,5.0,5220.0,16.85,0.2,0.4,1.2,1.0,0.0,0.0,27.17,0.84,5.81,3.03,1.95,0.89,0.55,2.12,249.0,9.0,0.45,0.55,0.84,1.73,0.0,0.0,5.58,2.0,7.0,7.0,3.0,0.0,0.0,5.0,5300.0,13.75,0.0,0.0,1.0,0.0,0.0,0.0,29.78,4.67
9187,4168,2017-12-13,James Johnson,5600,2,6,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.61,1.57,1.5,34,0.95,-1.84,-0.89,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.15,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.0,100.5,0.12,3.0,11.0,7.0,4.0,4.0,3.0,3.0,5400.0,26.75,2.0,2.0,1.0,0.0,0.0,0.0,31.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,10.0,8.0,3.8,2.6,2.0,4.8,5640.0,23.9,1.0,1.0,2.2,0.4,0.0,0.0,28.76,2.17,4.47,2.92,1.92,1.34,1.0,1.79,194.94,8.92,1.0,0.71,1.64,0.89,0.0,0.0,2.96,3.0,9.0,7.0,3.0,2.0,2.0,5.0,5700.0,24.0,1.0,1.0,3.0,0.0,0.0,0.0,29.22,4.49
